"EU27+3 divided into five regions:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West (BENELUX + British Isles): BE, IE, LU, NL, UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South: CH, CY, ES, FR (metropolitan), EL, IT, MT, PT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North: DK, FI, NO, SE, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East: AT, BG, CZ, EE, HR, HU, LT, LV, PL, RO, SI, SK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany (DE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"data in red is gap-filled","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","historic","future","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","data <--","data -->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece",8780514,8805098,8856974,8920282,8937890,8986153,9106928,9269372,9347586,9512332,9584184,9700826,9757874,9821152,9872102,9919500,9949100,9985326,10015863,10058103,10120892,10272691,10367163,10430958,10489871,10535973,10588332,10629267,10693250,10747768,10775627,10835989,10888274,10915770,10940369,10969912,11004716,11036008,11060937,11094745,11119289,11123392,11086406,11003615,10926807,10858018,10783748,10768193,10741165,10724599,10718565,10678632,10636917.333333334,10595202.666666668,10553488.000000002,10511773.333333336,10470058.66666667,10428344.000000004,10386629.333333338,10344914.666666672,10303200,10263959.8,10224719.600000001,10185479.400000002,10146239.200000003,10106999.000000004,10067758.800000004,10028518.600000005,9989278.400000006,9950038.200000007,9910798,9870030.9,9829263.8,9788496.700000001,9747729.600000001,9706962.500000002,9666195.400000002,9625428.300000003,9584661.200000003,9543894.100000003,9503127,"",""
"Spain",33587610,34040642,34408338,34800600,35177294,35569375,35946425,36329199,36694077,37035719,37346940,37635389,37881873,38090151,38252899,38407829,38531195,38638052,38731578,38802300,38853227,38881416,39051336,39264034,39458489,39639726,39808374,39971329,40143449,40303568,40470182,40665545,41035278,41827838,42547451,43296338,44009971,44784666,45668939,46239273,46486619,46667174,46818219,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47548439.88888889,47698184.777777776,47847929.666666664,47997674.55555555,48147419.44444444,48297164.33333333,48446909.22222222,48596654.111111104,48746399,48809468.5,48872538,48935607.5,48998677,49061746.5,49124816,49187885.5,49250955,49314024.5,49377094,49374237.6,49371381.2,49368524.800000004,49365668.400000006,49362812.00000001,49359955.60000001,49357099.20000001,49354242.80000001,49351386.40000001,49348530,"",""
"France",50849572.7419355,51188378.0483871,51527183.3548387,51865988.6612903,52204793.9677419,52543599.2741935,52882404.5806452,53221209.8870968,53560015.1935484,53898820.5,54237625.8064516,54576431.1129032,54915236.4193548,55254041.7258065,55592847.0322581,55931652.3387097,56270457.6451613,56609262.9516129,56948068.2580645,57286873.5645161,57625678.8709677,58313439,58604851,58885929,59104320,59315139,59522297,59726386,59934884,60158533,60545022,60979315,61424036,61864088,62292241,62772870,63229635,63645065,64007193,64350226,64658856,64978721,65276983,65600350,66165980,66458153,66638391,66809816,67026224,67177636,67320216,67656682,67778095.1111111,67899508.22222221,68020921.33333331,68142334.44444442,68263747.55555552,68385160.66666663,68506573.77777773,68627986.88888884,68749400,68854700.9,68960001.80000001,69065302.70000002,69170603.60000002,69275904.50000003,69381205.40000004,69486506.30000004,69591807.20000005,69697108.10000005,69802409,69823258.4,69844107.80000001,69864957.20000002,69885806.60000002,69906656.00000003,69927505.40000004,69948354.80000004,69969204.20000005,69990053.60000005,70010903,"",""
"France (metropolitan)",50528219,51016234,51485953,51915873,52320725,52600000,52798338,53019005,53271566,53481073,53731387,54028630,54335000,54649984,54894854,55157303,55411238,55681780,55966142,56269810,56577000,56840661,57110533,57369161,57565008,57752535,57935959,58116018,58298962,58496613,58858198,59266572,59685899,60101841,60505421,60963264,61399733,61795238,62134866,62465709,62765235,63070344,63375971,63697865,63514559.2547569,63803376.312544,64092193.3703312,64381010.4281184,64669827.4859056,64958644.5436927,65247461.6014799,65536278.6592671,65653886.60644171,65771494.553616315,65889102.50079094,66006710.447965555,66124318.39514017,66241926.34231478,66359534.2894894,66477142.23666402,66594750.183838695,66696750.88682132,66798751.58980394,66900752.29278656,67002752.99576918,67104753.6987518,67206754.40173443,67308755.10471705,67410755.80769967,67512756.51068228,67614757.21366484,67634953.1802403,67655149.14681576,67675345.11339122,67695541.0799667,67715737.04654215,67735933.01311763,67756128.97969308,67776324.94626854,67796520.91284402,67816716.87941943,"","Use annual population growth rate of France incl. Territories overseas (slight overestimate that can safely be neglected)"
"Croatia",4403352,4421151,4441399,4459729,4480592,4500727,4523436,4548432,4570709,4591460,4598095,4601469,4621548,4646921,4669587,4690983,4711852,4731041,4748450,4761965,4772556,4782179,4595865,4555771,4645155,4658893,4581167,4533028,4536812,4527460,4497735,4295406,4305494,4305384,4305725,4310861,4312487,4313530,4311967,4309796,4302847,4289857,4275984,4262140,4246809,4225316,4190669,4154213,4105493,4076246,4058165,4036355,4013214.3333333335,3990073.666666667,3966933.0000000005,3943792.333333334,3920651.6666666674,3897511.000000001,3874370.3333333344,3851229.666666668,3828089,3806528.8,3784968.5999999996,3763408.3999999994,3741848.1999999993,3720287.999999999,3698727.799999999,3677167.5999999987,3655607.3999999985,3634047.1999999983,3612487,3590494.2,3568501.4000000004,3546508.6000000006,3524515.8000000007,3502523.000000001,3480530.200000001,3458537.4000000013,3436544.6000000015,3414551.8000000017,3392559,"",""
"Italy",53685300,53958400,54188579,54574111,54928700,55293036,55588966,55847553,56063269,56247017,56388480,56479285,56524064,56563031,56565117,56588319,56597823,56594487,56609375,56649201,56694360,56744119,56772923,56821250,56842392,56844408,56844197,56876364,56904379,56909109,56923524,56960692,56987507,57130506,57495900,57874753,58064214,58223744,58652875,59000586,59190143,59364690,59394207,59685227,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,59314690.666666664,59393168.33333333,59471645.99999999,59550123.66666666,59628601.33333332,59707078.999999985,59785556.66666665,59864034.33333331,59942512,59885761.4,59829010.8,59772260.199999996,59715509.599999994,59658758.99999999,59602008.39999999,59545257.79999999,59488507.19999999,59431756.59999999,59375006,59250008.6,59125011.2,59000013.800000004,58875016.400000006,58750019.00000001,58625021.60000001,58500024.20000001,58375026.80000001,58250029.40000001,58125032,"",""
"Cyprus",612000,616900,623100,631778,637800,505700,497879,497600,498000,501300,505800,512300,522845,524623,531518,538397,544605,550888,556584,562693,572655,587141,603069,619231,632944,645399,656333,666313,675215,682862,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236,875899,888005,896007,903434.4444444445,910861.888888889,918289.3333333335,925716.777777778,933144.2222222225,940571.666666667,947999.1111111115,955426.555555556,962854,967854.4,972854.8,977855.2000000001,982855.6000000001,987856.0000000001,992856.4000000001,997856.8000000002,1002857.2000000002,1007857.6000000002,1012858,1016194.1,1019530.2,1022866.2999999999,1026202.3999999999,1029538.4999999999,1032874.5999999999,1036210.6999999998,1039546.7999999998,1042882.8999999998,1046219,"",""
"Latvia",2351903,2366424,2386353,2404995,2426642,2447730,2464529,2477449,2492697,2503145,2508761,2514640,2524202,2537958,2554063,2570030,2587716,2612068,2641097,2665770,2668140,2658161,2643000,2585675,2540904,2500580,2469531,2444912,2420789,2399248,2381715,2353384,2320956,2299390,2276520,2249724,2227874,2208840,2191810,2162834,2120504,2074605,2044813,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1873170,1853117,1833064,1813011,1792958,1772905,1752852,1732799,1712746,1695082.2,1677418.4,1659754.5999999999,1642090.7999999998,1624426.9999999998,1606763.1999999997,1589099.3999999997,1571435.5999999996,1553771.7999999996,1536108,1522001.1,1507894.2000000002,1493787.3000000003,1479680.4000000004,1465573.5000000005,1451466.6000000006,1437359.7000000007,1423252.8000000007,1409145.9000000008,1395039,"",""
"Lithuania",3118941,3160437,3197645,3229598,3259277,3288510,3314794,3342533,3367538,3391490,3404194,3422210,3443684,3470673,3499711,3528698,3560388,3597439,3635295,3674802,3693708,3701968,3706299,3693929,3671296,3642991,3615212,3588013,3562261,3536401,3512074,3486998,3454637,3431497,3398929,3355220,3289835,3249983,3212605,3183856,3141976,3052588,3003641,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,2771221.4444444445,2746762.888888889,2722304.3333333335,2697845.777777778,2673387.2222222225,2648928.666666667,2624470.1111111115,2600011.555555556,2575553,2551967.5,2528382,2504796.5,2481211,2457625.5,2434040,2410454.5,2386869,2363283.5,2339698,2319522.1,2299346.2,2279170.3000000003,2258994.4000000004,2238818.5000000005,2218642.6000000006,2198466.7000000007,2178290.8000000007,2158114.900000001,2137939,"",""
"Luxembourg",338507,339841,345000,348200,352700,357400,360500,360962,361753,362261,363450,364850,365600,365450,365794,366202,367210,369500,372000,374900,379300,384400,389600,394750,400200,405650,411600,416850,422050,427350,433600,439000,444050,448300,454960,461230,469086,476187,483799,493500,502066,511840,524853,537039,549680,562958,576249,590667,602005,613894,626108,634730,641173.5555555555,647617.111111111,654060.6666666665,660504.222222222,666947.7777777775,673391.333333333,679834.8888888885,686278.444444444,692722,697363.5,702005,706646.5,711288,715929.5,720571,725212.5,729854,734495.5,739137,742128.1,745119.2,748110.2999999999,751101.3999999999,754092.4999999999,757083.5999999999,760074.6999999998,763065.7999999998,766056.8999999998,769048,"",""
"Hungary",10322099,10353721,10381352,10415626,10448484,10508956,10572094,10625259,10670802,10698841,10709463,10712781,10710914,10700155,10678770,10657420,10640006,10621121,10604360,10588614,10374823,10373153,10373647,10365035,10350010,10336700,10321229,10301247,10279724,10253416,10221644,10200298,10174853,10142362,10116742,10097549,10076581,10066158,10045401,10030975,10014324,9985722,9931925,9908798,9877365,9855571,9830485,9797561,9778371,9772756,9769526,9730772,9718355.111111112,9705938.222222224,9693521.333333336,9681104.444444448,9668687.55555556,9656270.666666672,9643853.777777784,9631436.888888896,9619020,9601231.9,9583443.8,9565655.700000001,9547867.600000001,9530079.500000002,9512291.400000002,9494503.300000003,9476715.200000003,9458927.100000003,9441139,9424060.3,9406981.600000001,9389902.900000002,9372824.200000003,9355745.500000004,9338666.800000004,9321588.100000005,9304509.400000006,9287430.700000007,9270352,"",""
"Malta",302500,302800,302573,302346,302119,301892,306551,304997,308942,311421,315262,318028,319936,331859,329189,331997,340907,343334,345636,349014,352430,361908,365781,369455,373161,376433,378404,381405,384176,386397,388759,391415,394641,397296,399867,402668,404999,405616,407832,410926,414027,414989,417546,422509,429424,439691,450415,460297,475701,493559,514564,516100,524165.6666666667,532231.3333333334,540297,548362.6666666666,556428.3333333333,564493.9999999999,572559.6666666665,580625.3333333331,588691,593312.9,597934.8,602556.7000000001,607178.6000000001,611800.5000000001,616422.4000000001,621044.3000000002,625666.2000000002,630288.1000000002,634910,638256.3,641602.6000000001,644948.9000000001,648295.2000000002,651641.5000000002,654987.8000000003,658334.1000000003,661680.4000000004,665026.7000000004,668373,"",""
"Netherlands",12957621,13119430,13269563,13387623,13491020,13599092,13733578,13814495,13897874,13985526,14091014,14208586,14285829,14339551,14394589,14453833,14529430,14615125,14714948,14805240,14892574,15010445,15129150,15239182,15341553,15424122,15493889,15567107,15654192,15760225,15863950,15987075,16105285,16192572,16258032,16305526,16334210,16357992,16405399,16485787,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17530356,17585297,17640238,17695179,17750120,17805061,17860002,17914943,17969884,17991474.8,18013065.6,18034656.400000002,18056247.200000003,18077838.000000004,18099428.800000004,18121019.600000005,18142610.400000006,18164201.200000007,18185792,18181442,18177092,18172742,18168392,18164042,18159692,18155342,18150992,18146642,18142292,"",""
"Austria",7455142,7479030,7521933,7566469,7605760,7592316,7565489,7565561,7571299,7553310,7545539,7553326,7584094,7564185,7559635,7563233,7566736,7572852,7576319,7594315,7644818,7710882,7798899,7882519,7928746,7943489,7953067,7964966,7971116,7982461,8002186,8020946,8063640,8100273,8142573,8201359,8254298,8282984,8307989,8335003,8351643,8375164,8408121,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8956701.444444444,8980738.888888888,9004776.333333332,9028813.777777776,9052851.22222222,9076888.666666664,9100926.111111108,9124963.555555552,9149001,9163337.2,9177673.399999999,9192009.599999998,9206345.799999997,9220681.999999996,9235018.199999996,9249354.399999995,9263690.599999994,9278026.799999993,9292363,9297709.6,9303056.2,9308402.799999999,9313749.399999999,9319095.999999998,9324442.599999998,9329789.199999997,9335135.799999997,9340482.399999997,9345829,"",""
"Poland",32670600,32658000,32909000,33202300,33512100,33845698,34184700,34527900,34850200,35081000,35413434,35734865,36062309,36398652,36744964,37063303,37340467,37571771,37764318,37884655,38038403,38183160,38309226,38418108,38504707,38580597,38609399,38639341,38659979,38666983,38263303,38253955,38242197,38218531,38190608,38173835,38157055,38125479,38115641,38135876,38022869,38062718,38063792,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37840001,37748717.88888889,37657434.777777776,37566151.666666664,37474868.55555555,37383585.44444444,37292302.33333333,37201019.22222222,37109736.111111104,37018453,36882773.3,36747093.599999994,36611413.89999999,36475734.19999999,36340054.499999985,36204374.79999998,36068695.09999998,35933015.399999976,35797335.69999997,35661656,35505710.8,35349765.599999994,35193820.39999999,35037875.19999999,34881929.999999985,34725984.79999998,34570039.59999998,34414094.399999976,34258149.19999997,34102204,"",""
"Portugal",8697610,8663252,8624260,8636600,8629600,8879130,9307810,9403810,9507540,9608960,9713570,9819054,9883670,9939871,9975859,10016605,10030621,10034846,10025215,10014005,9995995,9970441,9950029,9954958,9974391,10008659,10043693,10084196,10133758,10186634,10249022,10330774,10394669,10444592,10473050,10494672,10511988,10532588,10553339,10563014,10573479,10572721,10542398,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,10275017.111111112,10251782.222222224,10228547.333333336,10205312.444444448,10182077.55555556,10158842.666666672,10135607.777777784,10112372.888888896,10089138,10058887.4,10028636.8,9998386.200000001,9968135.600000001,9937885.000000002,9907634.400000002,9877383.800000003,9847133.200000003,9816882.600000003,9786632,9745503.5,9704375,9663246.5,9622118,9580989.5,9539861,9498732.5,9457604,9416475.5,9375347,"",""
"Romania",20139603,20361192,20561942,20753972,20917390,21141468,21445698,21657569,21854622,22048305,22132670,22281894,22424246,22527235,22593720,22687374,22778624,22895058,23003802,23111521,23211395,23192274,22810035,22778533,22748027,22712394,22656145,22581862,22526093,22488595,22455485,22430457,21833483,21627509,21521142,21382354,21257016,21130503,20635460,20440290,20294683,20199059,20095996,20020074,19947311,19870647,19760585,19643949,19533481,19414458,19328838,19201662,19046810.666666668,18891959.333333336,18737108.000000004,18582256.66666667,18427405.33333334,18272554.000000007,18117702.666666675,17962851.333333343,17808000,17684818.7,17561637.4,17438456.099999998,17315274.799999997,17192093.499999996,17068912.199999996,16945730.899999995,16822549.599999994,16699368.299999993,16576187,16468852,16361517,16254182,16146847,16039512,15932177,15824842,15717507,15610172,15502837,"",""
"Slovenia",1717995,1731787,1744882,1759584,1773809,1778454,1808707,1831790,1852963,1872133,1893064,1909566,1903495,1917173,1927469,1936839,1946442,1985486,1994066,1996325,1996377,1999945,1998912,1994084,1989408,1989477,1990266,1986989,1984923,1978334,1987755,1990094,1994026,1995033,1996433,1997590,2003358,2010377,2010269,2032362,2046976,2050189,2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2108681.3333333335,2108385.666666667,2108090.0000000005,2107794.333333334,2107498.6666666674,2107203.000000001,2106907.3333333344,2106611.666666668,2106316,2103846.6,2101377.2,2098907.8000000003,2096438.4000000004,2093969.0000000005,2091499.6000000006,2089030.2000000007,2086560.8000000007,2084091.4000000008,2081622,2077834.9,2074047.7999999998,2070260.6999999997,2066473.5999999996,2062686.4999999995,2058899.3999999994,2055112.2999999993,2051325.1999999993,2047538.0999999992,2043751,"",""
"Slovakia",4536555,4539890,4575007,4618236,4664653,4714593,4763617,4815396,4865605,4914644,4963301,4996329,5035881,5074316,5109626,5144568,5178967,5208708,5236972,5264220,5287663,5310711,5295877,5314155,5336455,5356207,5367790,5378932,5387650,5393382,5398657,5378783,5378951,5374873,5371875,5372685,5372928,5373180,5376064,5382401,5390410,5392446,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5457664.222222222,5455547.444444444,5453430.666666666,5451313.888888888,5449197.11111111,5447080.333333332,5444963.555555554,5442846.777777776,5440730,5427900.9,5415071.800000001,5402242.700000001,5389413.6000000015,5376584.500000002,5363755.400000002,5350926.300000003,5338097.200000003,5325268.100000003,5312439,5295916.6,5279394.199999999,5262871.799999999,5246349.3999999985,5229826.999999998,5213304.599999998,5196782.199999997,5180259.799999997,5163737.399999997,5147215,"",""
"Finland",4614277,4598336,4625912,4653401,4678761,4702387,4720492,4730836,4746967,4758088,4771292,4787778,4812150,4841715,4869858,4893748,4910664,4925644,4938602,4954359,4974383,4998478,5029002,5054982,5077912,5098754,5116826,5132320,5147349,5159646,5171302,5181115,5194901,5206295,5219732,5236611,5255580,5276955,5300484,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5532182.444444444,5530571.888888888,5528961.333333332,5527350.777777776,5525740.22222222,5524129.666666664,5522519.111111108,5520908.555555552,5519298,5509982.5,5500667,5491351.5,5482036,5472720.5,5463405,5454089.5,5444774,5435458.5,5426143,5412599.6,5399056.199999999,5385512.799999999,5371969.3999999985,5358425.999999998,5344882.599999998,5331339.199999997,5317795.799999997,5304252.399999997,5290709,"",""
"Sweden",8004371,8081230,8115438,8129161,8143463,8176447,8208427,8236144,8266936,8284261,8303094,8317967,8323038,8327488,8330577,8342633,8358139,8381519,8414089,8458888,8527039,8590630,8644120,8692013,8745109,8816381,8837496,8844499,8847625,8854322,8861426,8882792,8909128,8940788,8975670,9011392,9047752,9113257,9182927,9256347,9340682,9415570,9482855,9555893,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10459265.888888888,10539236.777777776,10619207.666666664,10699178.555555552,10779149.44444444,10859120.333333328,10939091.222222216,11019062.111111104,11099033,11158467,11217901,11277335,11336769,11396203,11455637,11515071,11574505,11633939,11693373,11749442.1,11805511.2,11861580.299999999,11917649.399999999,11973718.499999998,12029787.599999998,12085856.699999997,12141925.799999997,12197994.899999997,12254064,"",""
"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",443961155,445843669,":",":",":",456304312,458518341,460451014,462385547,464187200,466083427,468059493,469584114,470795314,471768210,472802274,473923600,475279050,476552709,478212441,479703064,481376963,482487877,484153209,485513192,486550023,487405223,488206534,490598858,491331010,492049052,493060187,493806872,495566164,497458119,499532862,501411612,503324749,505385019,507244444,508382341,508239743,509389884,510572978,512705861,514053164,515762746,517013048,518164316,518817137,520115919,":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",439557803,441422518,":",":",":",451803585,453994905,455902582,457814838,459595740,461485332,463458024,464962566,466148393,467098623,468111291,469211748,470548009,471804259,473450476,474930508,476594784,477892012,479597438,480868037,481891130,482824056,483673506,486062046,486803550,487551317,488764781,489501378,491260780,493152394,495222001,497099125,499011219,501073052,502934648,504079494,503949886,505113900,506310838,508459052,509827848,511572077,512858835,514058823,514740891,516057754,":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"European Free Trade Association",10256893,10307543,10380728,10469728,10536393,10594250,10581288,10564446,10576794,10601152,10635230,10682125,10738279,10794141,10827114,10869027,10913300,10970490,11040363,11120759,11189203,11291916,11405515,11499380,11588759,11665036,11731192,11775077,11817765,11876593,11954416,12023715,12099819,12188439,12266469,12349642,12434143,12532713,12681480,12856065,12997529,13145040,13296582,13449030,13610401,13770625,13907998,14054026,14166313,14268108,14376494,14469516,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland",204042,204834,207361,210912,213722,216695,219262,221046,222552,224522,226948,229327,232182,235537,238416,240606,242203,244157,247561,251919,253785,255866,259727,262386,265064,266978,267958,269874,272381,275712,279049,283361,286575,288471,290570,293577,299891,307672,315459,319368,317630,318452,319575,321857,325671,329100,332529,338349,348450,356991,364134,368792,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Liechtenstein",20930,21350,21850,22414,23156,23745,23947,24169,24715,25340,25809,25215,26130,26380,26512,26680,27076,27399,27714,28181,28452,29032,29386,29868,30310,30629,30923,31143,31320,32015,32426,32863,33525,33863,34294,34600,34905,35168,35356,35589,35894,36149,36475,36838,37129,37366,37622,37810,38114,38378,38747,39055,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway",3863221,3888305,3917773,3948234,3972990,3997525,4017101,4035202,4051208,4066134,4078900,4092340,4107063,4122511,4134353,4145845,4159187,4175521,4198289,4220686,4233116,4249830,4273634,4299167,4324815,4348410,4369957,4392714,4417599,4445329,4478497,4503436,4524066,4552252,4577457,4606363,4640219,4681134,4737171,4799252,4858199,4920305,4985870,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5367580,5391369,5432919,5474469,5516019,5557569,5599119,5640669,5682219,5723769,5765319,5798382.3,5831445.6,5864508.899999999,5897572.199999999,5930635.499999999,5963698.799999999,5996762.099999999,6029825.3999999985,6062888.699999998,6095952,6121468.7,6146985.4,6172502.100000001,6198018.800000001,6223535.500000001,6249052.200000001,6274568.900000001,6300085.6000000015,6325602.300000002,6351119,"",""
"Switzerland",6168700,6193054,6233744,6288168,6326525,6356285,6320978,6284029,6278319,6285156,6303573,6335243,6372904,6409713,6427833,6455896,6484834,6523413,6566799,6619973,6673850,6757188,6842768,6907959,6968570,7019019,7062354,7081346,7096465,7123537,7164444,7204055,7255653,7313853,7364148,7415102,7459128,7508739,7593494,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550,8484130,8544527,8606033,8670300,8715449.555555556,8760599.111111112,8805748.666666668,8850898.222222224,8896047.77777778,8941197.333333336,8986346.888888892,9031496.444444448,9076646,9123272.9,9169899.8,9216526.700000001,9263153.600000001,9309780.500000002,9356407.400000002,9403034.300000003,9449661.200000003,9496288.100000003,9542915,9584561.8,9626208.600000001,9667855.400000002,9709502.200000003,9751149.000000004,9792795.800000004,9834442.600000005,9876089.400000006,9917736.200000007,9959383,"",""
"United Kingdom",55546400,55780100,56012345,56159785,56229268,56230680,56220920,56203016,56183968,56209039,56284863,56343569,56324088,56303194,56362502,56481641,56618895,56743897,56860203,56996450,57156972,57338199,57511594,57649210,57788017,57943472,58094587,58239312,58394596,58579685,58785246,58999781,59239564,59501394,59793759,60182050,60620361,61073279,61571647,62042343,62510197,63022532,63495088,63905342,64351203,64853393,65379044,65844142,66273576,66647112,67025542,64783011.6431373,65499132.90356823,66215254.16399918,66931375.42443012,67647496.68486105,68363617.94529198,69079739.20572293,69795860.46615386,70511981.7265848,71228102.98701571,71745906.51129822,72263710.03558074,72781513.55986325,73299317.08414578,73817120.60842831,74334924.13271083,74852727.65699334,75370531.18127586,75888334.70555837,76406138.22984089,76805539.89315045,77204941.55646001,77604343.21976957,78003744.88307913,78403146.54638869,78802548.20969824,79201949.8730078,79601351.53631736,80000753.19962692,80400154.86293653,"","Use annual population growth rate of Ireland"
"Montenegro",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",603152,605988,608460,610510,612214,613420,613109,614624,615543,617157,619001,619850,620308,620893,621521,622099,622218,622387,622359,622182,621873,620739,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Macedonia",1616769,1641353,1666798,1692113,1717090,1742780,1769890,1797145,1823151,1849388,1878067,1904570,1928856,1954972,1980139,2004709,2029175,2052953,2077056,2100246,1873109,1890872,1908941,2061000,1936741,1957265,1971687,1991398,2002340,2012705,2021578,2031112,2038651,2023654,2029892,2035196,2038514,2041941,2045177,2048619,2052722,2057284,2059794,2062294,2065769,2069172,2071278,2073702,2075301,2077132,2076255,2068808,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania",2110612,2160345,2215361,2270891,2322613,2377635,2432027,2485025,2542066,2590466,2645198,2698795,2753316,2815239,2872681,2936177,2993347,3051923,3115286,3169386,3286500,3259814,3190103,3167478,3220310,3248836,3283000,3324317,3354341,3373445,3058497,3063318,3057018,3044993,3034231,3019634,3003329,2981755,2958266,2936355,2918674,2907361,2903008,2897770,2892394,2885796,2875592,2876591,2870324,2862427,2845955,2829741,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",7552850,7527952,7504739,7502126,7490918,7470263,7456050,7425487,7397651,7365507,7334937,7306677,7251549,7216649,7181505,7146759,7114393,7076372,7040272,7001444,6963764,6926705,6871547,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey",34880611,35707058,36582215,37508880,38490106,39529218,40281507,41102443,41996129,42967253,44021146,45023450,46085508,47210448,48401689,49662958,50695548,51791212,52953586,54186642,55494711,56714051,57835076,58958565,60079060,61203584,62337617,63484661,64641675,65786563,66889425,64729501,65603160,66401851,67187251,68010221,68860539,69729967,70586256,71517100,72561312,73722988,74724269,75627384,76667864,77695904,78741053,79814871,80810525,82003882,83154997,83614362,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andorra",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",44593,46976,48451,50528,50887,54507,59048,61599,65226,64311,63859,64479,65306,65877,65971,65844,66334,67159,72320,76875,78549,81222,83137,84484,84082,78115,78115,76246,":",":",":",":",":",76177,":",":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",":",10019480,9990435,9950941,9898590,9849062,9800073,9750540,9714461,9689770,9671912,9480178,9481193,9465150,9463840,9468154,9480868,9498364,9504704,9491823,9475174,":",":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina",3685694,3731216,3789131,3845048,3898064,3950628,4004830,4059247,4110203,4157746,4136941,4114030,4158361,4203208,4248746,4293863,4337350,4379545,4421373,4461498,4499203,4517921,":",":",":",":",":",3727439,3549736,":",3753085,3789717,3813167,3830349,3837414,3842532,3842650,3844017,3843846,3843998,3844046,3843183,3839265,":",":",":",":",":",":",":",":",":","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
